Request id,Pickup point,Driver id,Status,Request timestamp,RT_Date,RT_Time,Request Period,Drop timestamp,DT_Date,DT_Time,Drop Period,Trip Duration
1934,Airport,3,Trip Completed,12-07-2016 11:17,12-07-2016,11:17:00,Day,12-07-2016 12:23,12-07-2016,12:23:00,Day,01:06:00
2083,Airport,3,Trip Completed,12-07-2016 15:46,12-07-2016,15:46:00,Day,12-07-2016 16:40,12-07-2016,16:40:00,Day,00:54:00
2211,Airport,3,Trip Completed,12-07-2016 18:00,12-07-2016,18:00:00,Evening,12-07-2016 18:28,12-07-2016,18:28:00,Evening,00:28:00
3096,Airport,3,Trip Completed,13-07-2016 08:17,13-07-2016,08:17:29,Morning,13-07-2016 09:22,13-07-2016,09:22:37,Morning,01:05:08
3881,Airport,3,Trip Completed,13-07-2016 21:54,13-07-2016,21:54:18,Night,13-07-2016 22:51,13-07-2016,22:51:23,Night,00:57:05
5254,City,3,Trip Completed,14-07-2016 21:23,14-07-2016,21:23:03,Night,14-07-2016 22:25,14-07-2016,22:25:19,Night,01:02:16
5434,City,3,Trip Completed,15-07-2016 02:41,15-07-2016,02:41:38,Early Morning,15-07-2016 03:24,15-07-2016,03:24:43,Early Morning,00:43:05
5916,City,3,Trip Completed,15-07-2016 10:00,15-07-2016,10:00:43,Day,15-07-2016 10:53,15-07-2016,10:53:06,Day,00:52:23
669,City,4,Trip Completed,11-07-2016 13:08,11-07-2016,13:08:00,Day,11-07-2016 13:49,11-07-2016,13:49:00,Day,00:41:00
1567,Airport,4,Trip Completed,12-07-2016 06:21,12-07-2016,06:21:00,Morning,12-07-2016 07:10,12-07-2016,07:10:00,Morning,00:49:00
1826,City,4,Trip Completed,12-07-2016 09:27,12-07-2016,09:27:00,Morning,12-07-2016 10:27,12-07-2016,10:27:00,Day,01:00:00
2102,City,4,Trip Completed,12-07-2016 16:09,12-07-2016,16:09:00,Day,12-07-2016 17:01,12-07-2016,17:01:00,Evening,00:52:00
2847,Airport,4,Trip Completed,13-07-2016 05:34,13-07-2016,05:34:20,Morning,13-07-2016 06:09,13-07-2016,06:09:59,Morning,00:35:39
3722,Airport,4,Trip Completed,13-07-2016 19:57,13-07-2016,19:57:59,Evening,13-07-2016 20:32,13-07-2016,20:32:04,Evening,00:34:05
4075,City,4,Trip Completed,14-07-2016 02:17,14-07-2016,02:17:35,Early Morning,14-07-2016 03:21,14-07-2016,03:21:38,Early Morning,01:04:03
4686,City,4,Trip Completed,14-07-2016 13:01,14-07-2016,13:01:10,Day,14-07-2016 13:45,14-07-2016,13:45:28,Day,00:44:18
5771,Airport,4,Trip Completed,15-07-2016 08:30,15-07-2016,08:30:06,Morning,15-07-2016 09:37,15-07-2016,09:37:20,Morning,01:07:14
6106,Airport,4,Trip Completed,15-07-2016 15:01,15-07-2016,15:01:20,Day,15-07-2016 15:47,15-07-2016,15:47:31,Day,00:46:11
312,City,5,Trip Completed,11-07-2016 07:27,11-07-2016,07:27:00,Morning,11-07-2016 08:31,11-07-2016,08:31:00,Morning,01:04:00
577,Airport,5,Trip Completed,11-07-2016 11:03,11-07-2016,11:03:00,Day,11-07-2016 12:01,11-07-2016,12:01:00,Day,00:58:00
1179,City,5,Trip Completed,11-07-2016 20:58,11-07-2016,20:58:00,Evening,11-07-2016 21:45,11-07-2016,21:45:00,Night,00:47:00
1756,Airport,5,Trip Completed,12-07-2016 08:40,12-07-2016,08:40:00,Morning,12-07-2016 09:23,12-07-2016,09:23:00,Morning,00:43:00
2052,City,5,Trip Completed,12-07-2016 14:48,12-07-2016,14:48:00,Day,12-07-2016 15:50,12-07-2016,15:50:00,Day,01:02:00
2559,City,5,Trip Completed,12-07-2016 21:32,12-07-2016,21:32:00,Night,12-07-2016 22:29,12-07-2016,22:29:00,Night,00:57:00
3014,City,5,Trip Completed,13-07-2016 07:28,13-07-2016,07:28:14,Morning,13-07-2016 08:29,13-07-2016,08:29:47,Morning,01:01:33
3317,City,5,Trip Completed,13-07-2016 12:14,13-07-2016,12:14:27,Day,13-07-2016 12:46,13-07-2016,12:46:38,Day,00:32:11
4297,City,5,Trip Completed,14-07-2016 06:43,14-07-2016,06:43:01,Morning,14-07-2016 07:49,14-07-2016,07:49:38,Morning,01:06:37
5857,Airport,5,Trip Completed,15-07-2016 09:08,15-07-2016,09:08:50,Morning,15-07-2016 10:07,15-07-2016,10:07:07,Day,00:58:17
6690,Airport,5,Trip Completed,15-07-2016 22:41,15-07-2016,22:41:41,Night,15-07-2016 23:51,15-07-2016,23:51:00,Night,01:09:19
1517,Airport,6,Trip Completed,12-07-2016 05:45,12-07-2016,05:45:00,Morning,12-07-2016 06:28,12-07-2016,06:28:00,Morning,00:43:00
1999,Airport,6,Trip Completed,12-07-2016 13:02,12-07-2016,13:02:00,Day,12-07-2016 13:51,12-07-2016,13:51:00,Day,00:49:00
2960,Airport,6,Trip Completed,13-07-2016 06:50,13-07-2016,06:50:33,Morning,13-07-2016 07:40,13-07-2016,07:40:35,Morning,00:50:02
3882,City,6,Trip Completed,13-07-2016 21:53,13-07-2016,21:53:03,Night,13-07-2016 22:45,13-07-2016,22:45:24,Night,00:52:21
4081,Airport,6,Trip Completed,14-07-2016 02:37,14-07-2016,02:37:14,Early Morning,14-07-2016 03:30,14-07-2016,03:30:27,Early Morning,00:53:13
4740,City,6,Trip Completed,14-07-2016 14:50,14-07-2016,14:50:07,Day,14-07-2016 15:38,14-07-2016,15:38:14,Day,00:48:07
5270,City,6,Trip Completed,14-07-2016 21:33,14-07-2016,21:33:55,Night,14-07-2016 22:25,14-07-2016,22:25:43,Night,00:51:48
6758,Airport,6,Trip Completed,15-07-2016 00:03,15-07-2016,00:03:39,Early Morning,15-07-2016 01:07,15-07-2016,01:07:39,Early Morning,01:04:00
5741,City,6,Trip Completed,15-07-2016 07:52,15-07-2016,07:52:51,Morning,15-07-2016 08:38,15-07-2016,08:38:55,Morning,00:46:04
6087,Airport,6,Trip Completed,15-07-2016 14:28,15-07-2016,14:28:50,Day,15-07-2016 15:33,15-07-2016,15:33:53,Day,01:05:03
1039,City,7,Trip Completed,11-07-2016 19:31,11-07-2016,19:31:00,Evening,11-07-2016 20:41,11-07-2016,20:41:00,Evening,01:10:00
1273,Airport,7,Trip Completed,11-07-2016 22:07,11-07-2016,22:07:00,Night,11-07-2016 23:12,11-07-2016,23:12:00,Night,01:05:00
2480,City,7,Trip Completed,12-07-2016 20:39,12-07-2016,20:39:00,Evening,12-07-2016 21:28,12-07-2016,21:28:00,Night,00:49:00
4105,City,7,Trip Completed,14-07-2016 03:39,14-07-2016,03:39:38,Early Morning,14-07-2016 04:39,14-07-2016,04:39:04,Early Morning,00:59:26
4509,City,7,Trip Completed,14-07-2016 09:11,14-07-2016,09:11:13,Morning,14-07-2016 10:17,14-07-2016,10:17:01,Day,01:05:48
4986,Airport,7,Trip Completed,14-07-2016 18:52,14-07-2016,18:52:32,Evening,14-07-2016 19:50,14-07-2016,19:50:57,Evening,00:58:25
5898,City,7,Trip Completed,15-07-2016 09:50,15-07-2016,09:50:28,Morning,15-07-2016 10:40,15-07-2016,10:40:39,Day,00:50:11
6142,Airport,7,Trip Completed,15-07-2016 15:50,15-07-2016,15:50:15,Day,15-07-2016 16:36,15-07-2016,16:36:56,Day,00:46:41
380,Airport,8,Trip Completed,11-07-2016 08:18,11-07-2016,08:18:00,Morning,11-07-2016 09:18,11-07-2016,09:18:00,Morning,01:00:00
1050,Airport,8,Trip Completed,11-07-2016 19:39,11-07-2016,19:39:00,Evening,11-07-2016 20:30,11-07-2016,20:30:00,Evening,00:51:00
1769,City,8,Trip Completed,12-07-2016 08:57,12-07-2016,08:57:00,Morning,12-07-2016 09:24,12-07-2016,09:24:00,Morning,00:27:00
2520,City,8,Trip Completed,12-07-2016 21:05,12-07-2016,21:05:00,Night,12-07-2016 22:20,12-07-2016,22:20:00,Night,01:15:00
3265,Airport,8,Trip Completed,13-07-2016 10:22,13-07-2016,10:22:07,Day,13-07-2016 11:07,13-07-2016,11:07:02,Day,00:44:55
4648,City,8,Trip Completed,14-07-2016 11:55,14-07-2016,11:55:10,Day,14-07-2016 12:59,14-07-2016,12:59:34,Day,01:04:24
449,Airport,9,Trip Completed,11-07-2016 09:08,11-07-2016,09:08:00,Morning,11-07-2016 09:52,11-07-2016,09:52:00,Morning,00:44:00
846,Airport,9,Trip Completed,11-07-2016 17:46,11-07-2016,17:46:00,Evening,11-07-2016 18:52,11-07-2016,18:52:00,Evening,01:06:00
1346,Airport,9,Trip Completed,11-07-2016 23:39,11-07-2016,23:39:00,Night,12-07-2016 00:23,12-07-2016,00:23:00,Early Morning,00:44:00
1474,Airport,9,Trip Completed,12-07-2016 05:13,12-07-2016,05:13:00,Morning,12-07-2016 05:56,12-07-2016,05:56:00,Morning,00:43:00
2240,City,9,Trip Completed,12-07-2016 18:20,12-07-2016,18:20:00,Evening,12-07-2016 18:54,12-07-2016,18:54:00,Evening,00:34:00
3072,Airport,9,Trip Completed,13-07-2016 08:04,13-07-2016,08:04:57,Morning,13-07-2016 08:36,13-07-2016,08:36:37,Morning,00:31:40
3459,Airport,9,Trip Completed,13-07-2016 17:03,13-07-2016,17:03:30,Evening,13-07-2016 17:31,13-07-2016,17:31:49,Evening,00:28:19
3774,Airport,9,Trip Completed,13-07-2016 20:41,13-07-2016,20:41:24,Evening,13-07-2016 21:27,13-07-2016,21:27:29,Night,00:46:05
4023,City,9,Trip Completed,13-07-2016 23:58,13-07-2016,23:58:41,Night,14-07-2016 00:58,14-07-2016,00:58:39,Early Morning,00:59:58
4117,City,9,Trip Completed,14-07-2016 04:21,14-07-2016,04:21:42,Early Morning,14-07-2016 05:07,14-07-2016,05:07:07,Morning,00:45:25
4880,Airport,9,Trip Completed,14-07-2016 17:58,14-07-2016,17:58:46,Evening,14-07-2016 19:02,14-07-2016,19:02:42,Evening,01:03:56
5568,Airport,9,Trip Completed,15-07-2016 05:47,15-07-2016,05:47:49,Morning,15-07-2016 06:25,15-07-2016,06:25:49,Morning,00:38:00
5994,Airport,9,Trip Completed,15-07-2016 11:51,15-07-2016,11:51:16,Day,15-07-2016 12:32,15-07-2016,12:32:12,Day,00:40:56
1809,Airport,10,Trip Completed,12-07-2016 09:13,12-07-2016,09:13:00,Morning,12-07-2016 10:01,12-07-2016,10:01:00,Day,00:48:00
2064,Airport,10,Trip Completed,12-07-2016 15:08,12-07-2016,15:08:00,Day,12-07-2016 16:14,12-07-2016,16:14:00,Day,01:06:00
3210,City,10,Trip Completed,13-07-2016 09:47,13-07-2016,09:47:06,Morning,13-07-2016 10:52,13-07-2016,10:52:37,Day,01:05:31
4350,City,10,Trip Completed,14-07-2016 07:24,14-07-2016,07:24:43,Morning,14-07-2016 08:22,14-07-2016,08:22:09,Morning,00:57:26
4713,City,10,Trip Completed,14-07-2016 13:31,14-07-2016,13:31:24,Day,14-07-2016 14:10,14-07-2016,14:10:56,Day,00:39:32
5629,Airport,10,Trip Completed,15-07-2016 06:33,15-07-2016,06:33:00,Morning,15-07-2016 07:19,15-07-2016,07:19:53,Morning,00:46:53
6157,Airport,10,Trip Completed,15-07-2016 16:32,15-07-2016,16:32:51,Day,15-07-2016 17:44,15-07-2016,17:44:44,Evening,01:11:53
2030,City,11,Trip Completed,12-07-2016 14:11,12-07-2016,14:11:00,Day,12-07-2016 15:02,12-07-2016,15:02:00,Day,00:51:00
3226,City,11,Trip Completed,13-07-2016 10:00,13-07-2016,10:00:17,Day,13-07-2016 11:02,13-07-2016,11:02:52,Day,01:02:35
3353,City,11,Trip Completed,13-07-2016 13:29,13-07-2016,13:29:44,Day,13-07-2016 14:09,13-07-2016,14:09:00,Day,00:39:16
4293,City,11,Trip Completed,14-07-2016 06:42,14-07-2016,06:42:36,Morning,14-07-2016 07:12,14-07-2016,07:12:41,Morning,00:30:05
4936,City,11,Trip Completed,14-07-2016 18:22,14-07-2016,18:22:17,Evening,14-07-2016 19:14,14-07-2016,19:14:36,Evening,00:52:19
5661,Airport,11,Trip Completed,15-07-2016 07:08,15-07-2016,07:08:50,Morning,15-07-2016 07:59,15-07-2016,07:59:00,Morning,00:50:10
5778,City,11,Trip Completed,15-07-2016 08:22,15-07-2016,08:22:03,Morning,15-07-2016 09:13,15-07-2016,09:13:04,Morning,00:51:01
6425,Airport,11,Trip Completed,15-07-2016 19:46,15-07-2016,19:46:40,Evening,15-07-2016 20:26,15-07-2016,20:26:51,Evening,00:40:11
45,Airport,12,Trip Completed,11-07-2016 03:17,11-07-2016,03:17:00,Early Morning,11-07-2016 04:09,11-07-2016,04:09:00,Early Morning,00:52:00
264,City,12,Trip Completed,11-07-2016 06:51,11-07-2016,06:51:00,Morning,11-07-2016 07:40,11-07-2016,07:40:00,Morning,00:49:00
1183,City,12,Trip Completed,11-07-2016 21:05,11-07-2016,21:05:00,Night,11-07-2016 21:38,11-07-2016,21:38:00,Night,00:33:00
1536,Airport,12,Trip Completed,12-07-2016 05:59,12-07-2016,05:59:00,Morning,12-07-2016 06:59,12-07-2016,06:59:00,Morning,01:00:00
2437,City,12,Trip Completed,12-07-2016 20:18,12-07-2016,20:18:00,Evening,12-07-2016 21:26,12-07-2016,21:26:00,Night,01:08:00
2641,Airport,12,Trip Completed,12-07-2016 22:28,12-07-2016,22:28:00,Night,12-07-2016 23:05,12-07-2016,23:05:00,Night,00:37:00
4077,Airport,12,Trip Completed,14-07-2016 02:14,14-07-2016,02:14:15,Early Morning,14-07-2016 03:13,14-07-2016,03:13:09,Early Morning,00:58:54
4610,City,12,Trip Completed,14-07-2016 10:35,14-07-2016,10:35:14,Day,14-07-2016 11:39,14-07-2016,11:39:01,Day,01:03:47
5066,Airport,12,Trip Completed,14-07-2016 19:31,14-07-2016,19:31:20,Evening,14-07-2016 20:14,14-07-2016,20:14:03,Evening,00:42:43
5666,Airport,12,Trip Completed,15-07-2016 07:04,15-07-2016,07:04:55,Morning,15-07-2016 08:12,15-07-2016,08:12:37,Morning,01:07:42
5923,City,12,Trip Completed,15-07-2016 10:07,15-07-2016,10:07:49,Day,15-07-2016 10:50,15-07-2016,10:50:50,Day,00:43:01
6367,City,12,Trip Completed,15-07-2016 19:04,15-07-2016,19:04:46,Evening,15-07-2016 19:46,15-07-2016,19:46:04,Evening,00:41:18
155,City,13,Trip Completed,11-07-2016 05:32,11-07-2016,05:32:00,Morning,11-07-2016 06:28,11-07-2016,06:28:00,Morning,00:56:00
310,Airport,13,Trip Completed,11-07-2016 07:24,11-07-2016,07:24:00,Morning,11-07-2016 08:28,11-07-2016,08:28:00,Morning,01:04:00
607,City,13,Trip Completed,11-07-2016 11:51,11-07-2016,11:51:00,Day,11-07-2016 12:42,11-07-2016,12:42:00,Day,00:51:00
1012,City,13,Trip Completed,11-07-2016 19:15,11-07-2016,19:15:00,Evening,11-07-2016 19:57,11-07-2016,19:57:00,Evening,00:42:00
1696,Airport,13,Trip Completed,12-07-2016 08:01,12-07-2016,08:01:00,Morning,12-07-2016 08:42,12-07-2016,08:42:00,Morning,00:41:00
3076,City,13,Trip Completed,13-07-2016 08:09,13-07-2016,08:09:04,Morning,13-07-2016 09:12,13-07-2016,09:12:19,Morning,01:03:15
4198,Airport,13,Trip Completed,14-07-2016 05:32,14-07-2016,05:32:14,Morning,14-07-2016 06:45,14-07-2016,06:45:32,Morning,01:13:18
4627,City,13,Trip Completed,14-07-2016 11:13,14-07-2016,11:13:19,Day,14-07-2016 12:00,14-07-2016,12:00:12,Day,00:46:53
5289,City,13,Trip Completed,14-07-2016 21:43,14-07-2016,21:43:24,Night,14-07-2016 22:24,14-07-2016,22:24:13,Night,00:40:49
5495,Airport,13,Trip Completed,15-07-2016 05:00,15-07-2016,05:00:13,Morning,15-07-2016 06:02,15-07-2016,06:02:27,Morning,01:02:14
6656,Airport,13,Trip Completed,15-07-2016 22:08,15-07-2016,22:08:42,Night,15-07-2016 22:41,15-07-2016,22:41:18,Night,00:32:36
139,Airport,14,Trip Completed,11-07-2016 05:21,11-07-2016,05:21:00,Morning,11-07-2016 06:09,11-07-2016,06:09:00,Morning,00:48:00
215,City,14,Trip Completed,11-07-2016 06:15,11-07-2016,06:15:00,Morning,11-07-2016 07:07,11-07-2016,07:07:00,Morning,00:52:00
1816,City,14,Trip Completed,12-07-2016 09:24,12-07-2016,09:24:00,Morning,12-07-2016 10:07,12-07-2016,10:07:00,Day,00:43:00
2505,Airport,14,Trip Completed,12-07-2016 21:03,12-07-2016,21:03:00,Night,12-07-2016 22:14,12-07-2016,22:14:00,Night,01:11:00
3346,City,14,Trip Completed,13-07-2016 13:01,13-07-2016,13:01:42,Day,13-07-2016 13:55,13-07-2016,13:55:59,Day,00:54:17
5294,City,14,Trip Completed,14-07-2016 21:45,14-07-2016,21:45:50,Night,14-07-2016 22:16,14-07-2016,22:16:40,Night,00:30:50
6226,Airport,14,Trip Completed,15-07-2016 17:34,15-07-2016,17:34:25,Evening,15-07-2016 18:33,15-07-2016,18:33:13,Evening,00:58:48
6733,Airport,14,Trip Completed,15-07-2016 23:32,15-07-2016,23:32:44,Night,16-07-2016 00:37,16-07-2016,00:37:46,Early Morning,01:05:02
1027,Airport,15,Trip Completed,11-07-2016 19:18,11-07-2016,19:18:00,Evening,11-07-2016 20:24,11-07-2016,20:24:00,Evening,01:06:00
2675,Airport,15,Trip Completed,12-07-2016 23:43,12-07-2016,23:43:00,Night,13-07-2016 00:35,13-07-2016,00:35:12,Early Morning,00:52:12
3200,City,15,Trip Completed,13-07-2016 09:39,13-07-2016,09:39:44,Morning,13-07-2016 10:30,13-07-2016,10:30:58,Day,00:51:14
3865,City,15,Trip Completed,13-07-2016 21:52,13-07-2016,21:52:05,Night,13-07-2016 22:21,13-07-2016,22:21:15,Night,00:29:10
4468,City,15,Trip Completed,14-07-2016 08:42,14-07-2016,08:42:46,Morning,14-07-2016 09:22,14-07-2016,09:22:01,Morning,00:39:15
5163,Airport,15,Trip Completed,14-07-2016 20:34,14-07-2016,20:34:30,Evening,14-07-2016 21:05,14-07-2016,21:05:18,Night,00:30:48
6009,City,15,Trip Completed,15-07-2016 12:22,15-07-2016,12:22:35,Day,15-07-2016 13:25,15-07-2016,13:25:27,Day,01:02:52
6448,Airport,15,Trip Completed,15-07-2016 20:02,15-07-2016,20:02:54,Evening,15-07-2016 20:40,15-07-2016,20:40:45,Evening,00:37:51
591,City,16,Trip Completed,11-07-2016 11:25,11-07-2016,11:25:00,Day,11-07-2016 12:31,11-07-2016,12:31:00,Day,01:06:00
709,City,16,Trip Completed,11-07-2016 14:16,11-07-2016,14:16:00,Day,11-07-2016 15:03,11-07-2016,15:03:00,Day,00:47:00
1167,Airport,16,Trip Completed,11-07-2016 20:50,11-07-2016,20:50:00,Evening,11-07-2016 21:52,11-07-2016,21:52:00,Night,01:02:00
2661,Airport,16,Trip Completed,12-07-2016 23:23,12-07-2016,23:23:00,Night,13-07-2016 00:27,13-07-2016,00:27:21,Early Morning,01:04:21
2808,City,16,Trip Completed,13-07-2016 05:05,13-07-2016,05:05:16,Morning,13-07-2016 05:56,13-07-2016,05:56:11,Morning,00:50:55
3258,Airport,16,Trip Completed,13-07-2016 10:12,13-07-2016,10:12:51,Day,13-07-2016 10:45,13-07-2016,10:45:28,Day,00:32:37
3413,Airport,16,Trip Completed,13-07-2016 15:32,13-07-2016,15:32:01,Day,13-07-2016 16:45,13-07-2016,16:45:44,Day,01:13:43
3939,Airport,16,Trip Completed,13-07-2016 22:26,13-07-2016,22:26:26,Night,13-07-2016 22:55,13-07-2016,22:55:54,Night,00:29:28
4125,City,16,Trip Completed,14-07-2016 04:37,14-07-2016,04:37:11,Early Morning,14-07-2016 05:46,14-07-2016,05:46:29,Morning,01:09:18
4457,City,16,Trip Completed,14-07-2016 08:36,14-07-2016,08:36:24,Morning,14-07-2016 09:19,14-07-2016,09:19:20,Morning,00:42:56
4728,City,16,Trip Completed,14-07-2016 14:04,14-07-2016,14:04:13,Day,14-07-2016 15:06,14-07-2016,15:06:40,Day,01:02:27
5347,Airport,16,Trip Completed,14-07-2016 22:51,14-07-2016,22:51:47,Night,14-07-2016 23:53,14-07-2016,23:53:42,Night,01:01:55
6147,City,16,Trip Completed,15-07-2016 16:11,15-07-2016,16:11:02,Day,15-07-2016 17:30,15-07-2016,17:30:08,Evening,01:19:06
6496,Airport,16,Trip Completed,15-07-2016 20:33,15-07-2016,20:33:00,Evening,15-07-2016 21:32,15-07-2016,21:32:49,Night,00:59:49
634,City,17,Trip Completed,11-07-2016 12:25,11-07-2016,12:25:00,Day,11-07-2016 13:06,11-07-2016,13:06:00,Day,00:41:00
939,Airport,17,Trip Completed,11-07-2016 18:25,11-07-2016,18:25:00,Evening,11-07-2016 19:26,11-07-2016,19:26:00,Evening,01:01:00
2628,Airport,17,Trip Completed,12-07-2016 22:10,12-07-2016,22:10:00,Night,12-07-2016 23:25,12-07-2016,23:25:00,Night,01:15:00
3021,City,17,Trip Completed,13-07-2016 07:33,13-07-2016,07:33:20,Morning,13-07-2016 08:26,13-07-2016,08:26:07,Morning,00:52:47
4743,City,17,Trip Completed,14-07-2016 14:54,14-07-2016,14:54:16,Day,14-07-2016 15:39,14-07-2016,15:39:03,Day,00:44:47
4981,City,17,Trip Completed,14-07-2016 18:47,14-07-2016,18:47:42,Evening,14-07-2016 19:43,14-07-2016,19:43:44,Evening,00:56:02
5367,Airport,17,Trip Completed,14-07-2016 23:35,14-07-2016,23:35:34,Night,15-07-2016 00:25,15-07-2016,00:25:26,Early Morning,00:49:52
5471,Airport,17,Trip Completed,15-07-2016 04:48,15-07-2016,04:48:57,Early Morning,15-07-2016 05:47,15-07-2016,05:47:13,Morning,00:58:16
5988,Airport,17,Trip Completed,15-07-2016 11:48,15-07-2016,11:48:32,Day,15-07-2016 12:55,15-07-2016,12:55:02,Day,01:06:30
6477,Airport,17,Trip Completed,15-07-2016 20:21,15-07-2016,20:21:26,Evening,15-07-2016 21:00,15-07-2016,21:00:31,Night,00:39:05
499,City,18,Trip Completed,11-07-2016 09:39,11-07-2016,09:39:00,Morning,11-07-2016 10:16,11-07-2016,10:16:00,Day,00:37:00
1147,Airport,18,Trip Completed,11-07-2016 20:42,11-07-2016,20:42:00,Evening,11-07-2016 21:18,11-07-2016,21:18:00,Night,00:36:00
1410,Airport,18,Trip Completed,12-07-2016 03:14,12-07-2016,03:14:00,Early Morning,12-07-2016 04:27,12-07-2016,04:27:00,Early Morning,01:13:00
1804,Airport,18,Trip Completed,12-07-2016 09:12,12-07-2016,09:12:00,Morning,12-07-2016 09:57,12-07-2016,09:57:00,Morning,00:45:00
1949,Airport,18,Trip Completed,12-07-2016 11:32,12-07-2016,11:32:00,Day,12-07-2016 12:13,12-07-2016,12:13:00,Day,00:41:00
2713,City,18,Trip Completed,13-07-2016 01:46,13-07-2016,01:46:42,Early Morning,13-07-2016 02:37,13-07-2016,02:37:08,Early Morning,00:50:26
2845,City,18,Trip Completed,13-07-2016 05:28,13-07-2016,05:28:29,Morning,13-07-2016 06:10,13-07-2016,06:10:40,Morning,00:42:11
3943,Airport,18,Trip Completed,13-07-2016 22:35,13-07-2016,22:35:38,Night,13-07-2016 23:33,13-07-2016,23:33:20,Night,00:57:42
4792,City,18,Trip Completed,14-07-2016 16:47,14-07-2016,16:47:15,Day,14-07-2016 17:34,14-07-2016,17:34:39,Evening,00:47:24
5207,Airport,18,Trip Completed,14-07-2016 20:57,14-07-2016,20:57:41,Evening,14-07-2016 21:56,14-07-2016,21:56:21,Night,00:58:40
5890,City,18,Trip Completed,15-07-2016 09:43,15-07-2016,09:43:57,Morning,15-07-2016 10:55,15-07-2016,10:55:22,Day,01:11:25
494,City,19,Trip Completed,11-07-2016 09:36,11-07-2016,09:36:00,Morning,11-07-2016 10:02,11-07-2016,10:02:00,Day,00:26:00
1485,City,19,Trip Completed,12-07-2016 05:21,12-07-2016,05:21:00,Morning,12-07-2016 06:35,12-07-2016,06:35:00,Morning,01:14:00
2042,City,19,Trip Completed,12-07-2016 14:30,12-07-2016,14:30:00,Day,12-07-2016 15:09,12-07-2016,15:09:00,Day,00:39:00
2561,Airport,19,Trip Completed,12-07-2016 21:29,12-07-2016,21:29:00,Night,12-07-2016 22:44,12-07-2016,22:44:00,Night,01:15:00
3813,Airport,19,Trip Completed,13-07-2016 21:06,13-07-2016,21:06:57,Night,13-07-2016 21:46,13-07-2016,21:46:24,Night,00:39:27
4260,Airport,19,Trip Completed,14-07-2016 06:11,14-07-2016,06:11:51,Morning,14-07-2016 06:59,14-07-2016,06:59:46,Morning,00:47:55
